mass,value,walk_type,metric,dc_scaling,source,upper,lower,predicted_value
10.0,1693.0,CRW,IFCT,Half,Raw,,,
10.0,1267.0,CRW,IFCT,Half,Raw,,,
10.0,1451.0,CRW,IFCT,Half,Raw,,,
10.0,730.0,CRW,IFCT,Half,Raw,,,
10.0,945.0,CRW,IFCT,Half,Raw,,,
10.0,3298.0,CRW,IFCT,Half,Raw,,,
10.0,7434.0,CRW,IFCT,Half,Raw,,,
10.0,2538.0,CRW,IFCT,Half,Raw,,,
10.0,2720.0,CRW,IFCT,Half,Raw,,,
100.0,1281.0,CRW,IFCT,Half,Raw,,,
100.0,2981.0,CRW,IFCT,Half,Raw,,,
100.0,1515.0,CRW,IFCT,Half,Raw,,,
100.0,1157.0,CRW,IFCT,Half,Raw,,,
100.0,1934.0,CRW,IFCT,Half,Raw,,,
100.0,62.0,CRW,IFCT,Half,Raw,,,
100.0,1427.0,CRW,IFCT,Half,Raw,,,
100.0,73.0,CRW,IFCT,Half,Raw,,,
100.0,112.0,CRW,IFCT,Half,Raw,,,
100.0,4642.0,CRW,IFCT,Half,Raw,,,
100.0,131.0,CRW,IFCT,Half,Raw,,,
100.0,3583.0,CRW,IFCT,Half,Raw,,,
100.0,3714.0,CRW,IFCT,Half,Raw,,,
100.0,890.0,CRW,IFCT,Half,Raw,,,
100.0,196.0,CRW,IFCT,Half,Raw,,,
100.0,1223.0,CRW,IFCT,Half,Raw,,,
100.0,2721.0,CRW,IFCT,Half,Raw,,,
100.0,2212.0,CRW,IFCT,Half,Raw,,,
100.0,1927.0,CRW,IFCT,Half,Raw,,,
100.0,2928.0,CRW,IFCT,Half,Raw,,,
100.0,2051.0,CRW,IFCT,Half,Raw,,,
100.0,3249.0,CRW,IFCT,Half,Raw,,,
100.0,3880.0,CRW,IFCT,Half,Raw,,,
100.0,379.0,CRW,IFCT,Half,Raw,,,
100.0,609.0,CRW,IFCT,Half,Raw,,,
100.0,396.0,CRW,IFCT,Half,Raw,,,
100.0,708.0,CRW,IFCT,Half,Raw,,,
100.0,6802.0,CRW,IFCT,Half,Raw,,,
100.0,179.0,CRW,IFCT,Half,Raw,,,
100.0,534.0,CRW,IFCT,Half,Raw,,,
100.0,2325.0,CRW,IFCT,Half,Raw,,,
100.0,1953.0,CRW,IFCT,Half,Raw,,,
100.0,381.0,CRW,IFCT,Half,Raw,,,
100.0,22.0,CRW,IFCT,Half,Raw,,,
100.0,917.0,CRW,IFCT,Half,Raw,,,
100.0,3806.0,CRW,IFCT,Half,Raw,,,
100.0,373.0,CRW,IFCT,Half,Raw,,,
100.0,1205.0,CRW,IFCT,Half,Raw,,,
100.0,400.0,CRW,IFCT,Half,Raw,,,
100.0,2056.0,CRW,IFCT,Half,Raw,,,
100.0,940.0,CRW,IFCT,Half,Raw,,,
100.0,5982.0,CRW,IFCT,Half,Raw,,,
100.0,326.0,CRW,IFCT,Half,Raw,,,
100.0,1917.0,CRW,IFCT,Half,Raw,,,
100.0,1010.0,CRW,IFCT,Half,Raw,,,
100.0,729.0,CRW,IFCT,Half,Raw,,,
100.0,3196.0,CRW,IFCT,Half,Raw,,,
100.0,6625.0,CRW,IFCT,Half,Raw,,,
100.0,652.0,CRW,IFCT,Half,Raw,,,
100.0,265.0,CRW,IFCT,Half,Raw,,,
100.0,1672.0,CRW,IFCT,Half,Raw,,,
100.0,797.0,CRW,IFCT,Half,Raw,,,
100.0,548.0,CRW,IFCT,Half,Raw,,,
100.0,3111.0,CRW,IFCT,Half,Raw,,,
100.0,2480.0,CRW,IFCT,Half,Raw,,,
100.0,667.0,CRW,IFCT,Half,Raw,,,
100.0,752.0,CRW,IFCT,Half,Raw,,,
100.0,269.0,CRW,IFCT,Half,Raw,,,
100.0,102.0,CRW,IFCT,Half,Raw,,,
100.0,2521.0,CRW,IFCT,Half,Raw,,,
100.0,5608.0,CRW,IFCT,Half,Raw,,,
100.0,394.0,CRW,IFCT,Half,Raw,,,
100.0,2286.0,CRW,IFCT,Half,Raw,,,
100.0,895.0,CRW,IFCT,Half,Raw,,,
100.0,1378.0,CRW,IFCT,Half,Raw,,,
100.0,656.0,CRW,IFCT,Half,Raw,,,
100.0,466.0,CRW,IFCT,Half,Raw,,,
100.0,1271.0,CRW,IFCT,Half,Raw,,,
100.0,5011.0,CRW,IFCT,Half,Raw,,,
100.0,400.0,CRW,IFCT,Half,Raw,,,
100.0,4392.0,CRW,IFCT,Half,Raw,,,
100.0,533.0,CRW,IFCT,Half,Raw,,,
100.0,1509.0,CRW,IFCT,Half,Raw,,,
100.0,1267.0,CRW,IFCT,Half,Raw,,,
100.0,245.0,CRW,IFCT,Half,Raw,,,
100.0,184.0,CRW,IFCT,Half,Raw,,,
100.0,1218.0,CRW,IFCT,Half,Raw,,,
100.0,4379.0,CRW,IFCT,Half,Raw,,,
100.0,3776.0,CRW,IFCT,Half,Raw,,,
100.0,2915.0,CRW,IFCT,Half,Raw,,,
100.0,883.0,CRW,IFCT,Half,Raw,,,
100.0,1072.0,CRW,IFCT,Half,Raw,,,
100.0,62.0,CRW,IFCT,Half,Raw,,,
100.0,8764.0,CRW,IFCT,Half,Raw,,,
100.0,41.0,CRW,IFCT,Half,Raw,,,
100.0,268.0,CRW,IFCT,Half,Raw,,,
100.0,80.0,CRW,IFCT,Half,Raw,,,
100.0,12.0,CRW,IFCT,Half,Raw,,,
100.0,2592.0,CRW,IFCT,Half,Raw,,,
100.0,96.0,CRW,IFCT,Half,Raw,,,
100.0,1051.0,CRW,IFCT,Half,Raw,,,
100.0,968.0,CRW,IFCT,Half,Raw,,,
100.0,1558.0,CRW,IFCT,Half,Raw,,,
100.0,68.0,CRW,IFCT,Half,Raw,,,
100.0,5028.0,CRW,IFCT,Half,Raw,,,
100.0,2790.0,CRW,IFCT,Half,Raw,,,
100.0,774.0,CRW,IFCT,Half,Raw,,,
100.0,1853.0,CRW,IFCT,Half,Raw,,,
100.0,257.0,CRW,IFCT,Half,Raw,,,
100.0,1866.0,CRW,IFCT,Half,Raw,,,
1000.0,1131.0,CRW,IFCT,Half,Raw,,,
1000.0,746.0,CRW,IFCT,Half,Raw,,,
1000.0,40.0,CRW,IFCT,Half,Raw,,,
1000.0,1939.0,CRW,IFCT,Half,Raw,,,
1000.0,299.0,CRW,IFCT,Half,Raw,,,
1000.0,1522.0,CRW,IFCT,Half,Raw,,,
1000.0,179.0,CRW,IFCT,Half,Raw,,,
1000.0,52.0,CRW,IFCT,Half,Raw,,,
1000.0,2108.0,CRW,IFCT,Half,Raw,,,
1000.0,1418.0,CRW,IFCT,Half,Raw,,,
1000.0,79.0,CRW,IFCT,Half,Raw,,,
1000.0,1313.0,CRW,IFCT,Half,Raw,,,
1000.0,1050.0,CRW,IFCT,Half,Raw,,,
1000.0,136.0,CRW,IFCT,Half,Raw,,,
1000.0,137.0,CRW,IFCT,Half,Raw,,,
1000.0,261.0,CRW,IFCT,Half,Raw,,,
1000.0,646.0,CRW,IFCT,Half,Raw,,,
1000.0,971.0,CRW,IFCT,Half,Raw,,,
1000.0,1194.0,CRW,IFCT,Half,Raw,,,
1000.0,451.0,CRW,IFCT,Half,Raw,,,
1000.0,2715.0,CRW,IFCT,Half,Raw,,,
1000.0,507.0,CRW,IFCT,Half,Raw,,,
1000.0,678.0,CRW,IFCT,Half,Raw,,,
1000.0,226.0,CRW,IFCT,Half,Raw,,,
1000.0,199.0,CRW,IFCT,Half,Raw,,,
1000.0,1855.0,CRW,IFCT,Half,Raw,,,
1000.0,212.0,CRW,IFCT,Half,Raw,,,
1000.0,35.0,CRW,IFCT,Half,Raw,,,
1000.0,1367.0,CRW,IFCT,Half,Raw,,,
1000.0,644.0,CRW,IFCT,Half,Raw,,,
1000.0,1489.0,CRW,IFCT,Half,Raw,,,
1000.0,3860.0,CRW,IFCT,Half,Raw,,,
1000.0,567.0,CRW,IFCT,Half,Raw,,,
1000.0,267.0,CRW,IFCT,Half,Raw,,,
1000.0,14.0,CRW,IFCT,Half,Raw,,,
1000.0,1459.0,CRW,IFCT,Half,Raw,,,
1000.0,104.0,CRW,IFCT,Half,Raw,,,
1000.0,78.0,CRW,IFCT,Half,Raw,,,
1000.0,2095.0,CRW,IFCT,Half,Raw,,,
1000.0,787.0,CRW,IFCT,Half,Raw,,,
1000.0,6.0,CRW,IFCT,Half,Raw,,,
1000.0,1827.0,CRW,IFCT,Half,Raw,,,
1000.0,234.0,CRW,IFCT,Half,Raw,,,
1000.0,852.0,CRW,IFCT,Half,Raw,,,
1000.0,593.0,CRW,IFCT,Half,Raw,,,
1000.0,281.0,CRW,IFCT,Half,Raw,,,
1000.0,660.0,CRW,IFCT,Half,Raw,,,
1000.0,633.0,CRW,IFCT,Half,Raw,,,
1000.0,23.0,CRW,IFCT,Half,Raw,,,
1000.0,319.0,CRW,IFCT,Half,Raw,,,
1000.0,255.0,CRW,IFCT,Half,Raw,,,
1000.0,95.0,CRW,IFCT,Half,Raw,,,
1000.0,157.0,CRW,IFCT,Half,Raw,,,
1000.0,586.0,CRW,IFCT,Half,Raw,,,
1000.0,676.0,CRW,IFCT,Half,Raw,,,
1000.0,412.0,CRW,IFCT,Half,Raw,,,
1000.0,1645.0,CRW,IFCT,Half,Raw,,,
1000.0,217.0,CRW,IFCT,Half,Raw,,,
1000.0,32.0,CRW,IFCT,Half,Raw,,,
1000.0,2469.0,CRW,IFCT,Half,Raw,,,
1000.0,320.0,CRW,IFCT,Half,Raw,,,
1000.0,268.0,CRW,IFCT,Half,Raw,,,
1000.0,561.0,CRW,IFCT,Half,Raw,,,
1000.0,105.0,CRW,IFCT,Half,Raw,,,
1000.0,727.0,CRW,IFCT,Half,Raw,,,
1000.0,540.0,CRW,IFCT,Half,Raw,,,
1000.0,313.0,CRW,IFCT,Half,Raw,,,
1000.0,196.0,CRW,IFCT,Half,Raw,,,
1000.0,3748.0,CRW,IFCT,Half,Raw,,,
1000.0,876.0,CRW,IFCT,Half,Raw,,,
1000.0,50.0,CRW,IFCT,Half,Raw,,,
1000.0,1821.0,CRW,IFCT,Half,Raw,,,
1000.0,385.0,CRW,IFCT,Half,Raw,,,
1000.0,498.0,CRW,IFCT,Half,Raw,,,
1000.0,457.0,CRW,IFCT,Half,Raw,,,
1000.0,989.0,CRW,IFCT,Half,Raw,,,
1000.0,123.0,CRW,IFCT,Half,Raw,,,
1000.0,900.0,CRW,IFCT,Half,Raw,,,
1000.0,99.0,CRW,IFCT,Half,Raw,,,
1000.0,349.0,CRW,IFCT,Half,Raw,,,
1000.0,607.0,CRW,IFCT,Half,Raw,,,
1000.0,426.0,CRW,IFCT,Half,Raw,,,
1000.0,446.0,CRW,IFCT,Half,Raw,,,
1000.0,381.0,CRW,IFCT,Half,Raw,,,
1000.0,162.0,CRW,IFCT,Half,Raw,,,
1000.0,974.0,CRW,IFCT,Half,Raw,,,
1000.0,828.0,CRW,IFCT,Half,Raw,,,
1000.0,328.0,CRW,IFCT,Half,Raw,,,
1000.0,1687.0,CRW,IFCT,Half,Raw,,,
1000.0,655.0,CRW,IFCT,Half,Raw,,,
1000.0,175.0,CRW,IFCT,Half,Raw,,,
1000.0,1277.0,CRW,IFCT,Half,Raw,,,
1000.0,448.0,CRW,IFCT,Half,Raw,,,
1000.0,84.0,CRW,IFCT,Half,Raw,,,
1000.0,80.0,CRW,IFCT,Half,Raw,,,
1000.0,76.0,CRW,IFCT,Half,Raw,,,
1000.0,510.0,CRW,IFCT,Half,Raw,,,
1000.0,1049.0,CRW,IFCT,Half,Raw,,,
1000.0,2494.0,CRW,IFCT,Half,Raw,,,
1000.0,113.0,CRW,IFCT,Half,Raw,,,
10000.0,190.0,CRW,IFCT,Half,Raw,,,
10000.0,267.0,CRW,IFCT,Half,Raw,,,
10000.0,217.0,CRW,IFCT,Half,Raw,,,
10000.0,50.0,CRW,IFCT,Half,Raw,,,
10000.0,236.0,CRW,IFCT,Half,Raw,,,
10000.0,792.0,CRW,IFCT,Half,Raw,,,
10000.0,363.0,CRW,IFCT,Half,Raw,,,
10000.0,282.0,CRW,IFCT,Half,Raw,,,
10000.0,343.0,CRW,IFCT,Half,Raw,,,
10000.0,53.0,CRW,IFCT,Half,Raw,,,
10000.0,304.0,CRW,IFCT,Half,Raw,,,
10000.0,307.0,CRW,IFCT,Half,Raw,,,
10000.0,336.0,CRW,IFCT,Half,Raw,,,
10000.0,304.0,CRW,IFCT,Half,Raw,,,
10000.0,351.0,CRW,IFCT,Half,Raw,,,
10000.0,501.0,CRW,IFCT,Half,Raw,,,
10000.0,104.0,CRW,IFCT,Half,Raw,,,
10000.0,154.0,CRW,IFCT,Half,Raw,,,
10000.0,338.0,CRW,IFCT,Half,Raw,,,
10000.0,175.0,CRW,IFCT,Half,Raw,,,
10000.0,341.0,CRW,IFCT,Half,Raw,,,
10000.0,509.0,CRW,IFCT,Half,Raw,,,
10000.0,490.0,CRW,IFCT,Half,Raw,,,
10000.0,1.0,CRW,IFCT,Half,Raw,,,
10000.0,499.0,CRW,IFCT,Half,Raw,,,
10000.0,554.0,CRW,IFCT,Half,Raw,,,
10000.0,159.0,CRW,IFCT,Half,Raw,,,
10000.0,160.0,CRW,IFCT,Half,Raw,,,
10000.0,23.0,CRW,IFCT,Half,Raw,,,
10000.0,430.0,CRW,IFCT,Half,Raw,,,
10000.0,537.0,CRW,IFCT,Half,Raw,,,
10000.0,57.0,CRW,IFCT,Half,Raw,,,
10000.0,74.0,CRW,IFCT,Half,Raw,,,
10000.0,156.0,CRW,IFCT,Half,Raw,,,
10000.0,892.0,CRW,IFCT,Half,Raw,,,
10000.0,236.0,CRW,IFCT,Half,Raw,,,
10000.0,848.0,CRW,IFCT,Half,Raw,,,
10000.0,152.0,CRW,IFCT,Half,Raw,,,
10000.0,94.0,CRW,IFCT,Half,Raw,,,
10000.0,391.0,CRW,IFCT,Half,Raw,,,
10000.0,114.0,CRW,IFCT,Half,Raw,,,
10000.0,116.0,CRW,IFCT,Half,Raw,,,
10000.0,94.0,CRW,IFCT,Half,Raw,,,
10000.0,273.0,CRW,IFCT,Half,Raw,,,
10000.0,120.0,CRW,IFCT,Half,Raw,,,
10000.0,228.0,CRW,IFCT,Half,Raw,,,
10000.0,171.0,CRW,IFCT,Half,Raw,,,
10000.0,26.0,CRW,IFCT,Half,Raw,,,
10000.0,202.0,CRW,IFCT,Half,Raw,,,
10000.0,71.0,CRW,IFCT,Half,Raw,,,
10000.0,139.0,CRW,IFCT,Half,Raw,,,
10000.0,279.0,CRW,IFCT,Half,Raw,,,
10000.0,444.0,CRW,IFCT,Half,Raw,,,
10000.0,420.0,CRW,IFCT,Half,Raw,,,
10000.0,575.0,CRW,IFCT,Half,Raw,,,
10000.0,606.0,CRW,IFCT,Half,Raw,,,
10000.0,781.0,CRW,IFCT,Half,Raw,,,
10000.0,158.0,CRW,IFCT,Half,Raw,,,
10000.0,95.0,CRW,IFCT,Half,Raw,,,
10000.0,1201.0,CRW,IFCT,Half,Raw,,,
10000.0,1105.0,CRW,IFCT,Half,Raw,,,
10000.0,651.0,CRW,IFCT,Half,Raw,,,
10000.0,113.0,CRW,IFCT,Half,Raw,,,
10000.0,308.0,CRW,IFCT,Half,Raw,,,
10000.0,1061.0,CRW,IFCT,Half,Raw,,,
10000.0,215.0,CRW,IFCT,Half,Raw,,,
10000.0,283.0,CRW,IFCT,Half,Raw,,,
10000.0,68.0,CRW,IFCT,Half,Raw,,,
10000.0,182.0,CRW,IFCT,Half,Raw,,,
10000.0,217.0,CRW,IFCT,Half,Raw,,,
10000.0,228.0,CRW,IFCT,Half,Raw,,,
10000.0,220.0,CRW,IFCT,Half,Raw,,,
10000.0,168.0,CRW,IFCT,Half,Raw,,,
10000.0,175.0,CRW,IFCT,Half,Raw,,,
10000.0,940.0,CRW,IFCT,Half,Raw,,,
10000.0,35.0,CRW,IFCT,Half,Raw,,,
10000.0,769.0,CRW,IFCT,Half,Raw,,,
10000.0,261.0,CRW,IFCT,Half,Raw,,,
10000.0,35.0,CRW,IFCT,Half,Raw,,,
10000.0,1.0,CRW,IFCT,Half,Raw,,,
10000.0,48.0,CRW,IFCT,Half,Raw,,,
10000.0,560.0,CRW,IFCT,Half,Raw,,,
10000.0,2.0,CRW,IFCT,Half,Raw,,,
10000.0,15.0,CRW,IFCT,Half,Raw,,,
10000.0,8.0,CRW,IFCT,Half,Raw,,,
10000.0,347.0,CRW,IFCT,Half,Raw,,,
10000.0,118.0,CRW,IFCT,Half,Raw,,,
10000.0,5.0,CRW,IFCT,Half,Raw,,,
10000.0,1177.0,CRW,IFCT,Half,Raw,,,
10000.0,16.0,CRW,IFCT,Half,Raw,,,
10000.0,463.0,CRW,IFCT,Half,Raw,,,
10000.0,255.0,CRW,IFCT,Half,Raw,,,
10000.0,512.0,CRW,IFCT,Half,Raw,,,
10000.0,28.0,CRW,IFCT,Half,Raw,,,
10000.0,640.0,CRW,IFCT,Half,Raw,,,
10000.0,106.0,CRW,IFCT,Half,Raw,,,
10000.0,484.0,CRW,IFCT,Half,Raw,,,
10000.0,1131.0,CRW,IFCT,Half,Raw,,,
10000.0,179.0,CRW,IFCT,Half,Raw,,,
10000.0,446.0,CRW,IFCT,Half,Raw,,,
100000.0,433.0,CRW,IFCT,Half,Raw,,,
100000.0,116.0,CRW,IFCT,Half,Raw,,,
100000.0,51.0,CRW,IFCT,Half,Raw,,,
100000.0,155.0,CRW,IFCT,Half,Raw,,,
100000.0,43.0,CRW,IFCT,Half,Raw,,,
100000.0,485.0,CRW,IFCT,Half,Raw,,,
100000.0,28.0,CRW,IFCT,Half,Raw,,,
100000.0,70.0,CRW,IFCT,Half,Raw,,,
100000.0,72.0,CRW,IFCT,Half,Raw,,,
100000.0,190.0,CRW,IFCT,Half,Raw,,,
100000.0,44.0,CRW,IFCT,Half,Raw,,,
100000.0,347.0,CRW,IFCT,Half,Raw,,,
100000.0,36.0,CRW,IFCT,Half,Raw,,,
100000.0,34.0,CRW,IFCT,Half,Raw,,,
100000.0,87.0,CRW,IFCT,Half,Raw,,,
100000.0,44.0,CRW,IFCT,Half,Raw,,,
100000.0,97.0,CRW,IFCT,Half,Raw,,,
100000.0,29.0,CRW,IFCT,Half,Raw,,,
100000.0,24.0,CRW,IFCT,Half,Raw,,,
100000.0,355.0,CRW,IFCT,Half,Raw,,,
100000.0,97.0,CRW,IFCT,Half,Raw,,,
100000.0,248.0,CRW,IFCT,Half,Raw,,,
100000.0,9.0,CRW,IFCT,Half,Raw,,,
100000.0,219.0,CRW,IFCT,Half,Raw,,,
100000.0,239.0,CRW,IFCT,Half,Raw,,,
100000.0,285.0,CRW,IFCT,Half,Raw,,,
100000.0,2.0,CRW,IFCT,Half,Raw,,,
100000.0,604.0,CRW,IFCT,Half,Raw,,,
100000.0,26.0,CRW,IFCT,Half,Raw,,,
100000.0,107.0,CRW,IFCT,Half,Raw,,,
100000.0,393.0,CRW,IFCT,Half,Raw,,,
100000.0,24.0,CRW,IFCT,Half,Raw,,,
100000.0,195.0,CRW,IFCT,Half,Raw,,,
100000.0,80.0,CRW,IFCT,Half,Raw,,,
100000.0,20.0,CRW,IFCT,Half,Raw,,,
100000.0,72.0,CRW,IFCT,Half,Raw,,,
100000.0,207.0,CRW,IFCT,Half,Raw,,,
100000.0,93.0,CRW,IFCT,Half,Raw,,,
100000.0,26.0,CRW,IFCT,Half,Raw,,,
100000.0,298.0,CRW,IFCT,Half,Raw,,,
100000.0,371.0,CRW,IFCT,Half,Raw,,,
100000.0,1.0,CRW,IFCT,Half,Raw,,,
100000.0,34.0,CRW,IFCT,Half,Raw,,,
100000.0,97.0,CRW,IFCT,Half,Raw,,,
100000.0,202.0,CRW,IFCT,Half,Raw,,,
100000.0,38.0,CRW,IFCT,Half,Raw,,,
100000.0,114.0,CRW,IFCT,Half,Raw,,,
100000.0,176.0,CRW,IFCT,Half,Raw,,,
100000.0,66.0,CRW,IFCT,Half,Raw,,,
100000.0,228.0,CRW,IFCT,Half,Raw,,,
100000.0,6.0,CRW,IFCT,Half,Raw,,,
100000.0,101.0,CRW,IFCT,Half,Raw,,,
100000.0,340.0,CRW,IFCT,Half,Raw,,,
100000.0,60.0,CRW,IFCT,Half,Raw,,,
100000.0,78.0,CRW,IFCT,Half,Raw,,,
100000.0,13.0,CRW,IFCT,Half,Raw,,,
100000.0,65.0,CRW,IFCT,Half,Raw,,,
100000.0,86.0,CRW,IFCT,Half,Raw,,,
100000.0,352.0,CRW,IFCT,Half,Raw,,,
100000.0,36.0,CRW,IFCT,Half,Raw,,,
100000.0,423.0,CRW,IFCT,Half,Raw,,,
100000.0,104.0,CRW,IFCT,Half,Raw,,,
100000.0,128.0,CRW,IFCT,Half,Raw,,,
100000.0,56.0,CRW,IFCT,Half,Raw,,,
100000.0,89.0,CRW,IFCT,Half,Raw,,,
100000.0,6.0,CRW,IFCT,Half,Raw,,,
100000.0,158.0,CRW,IFCT,Half,Raw,,,
100000.0,65.0,CRW,IFCT,Half,Raw,,,
100000.0,97.0,CRW,IFCT,Half,Raw,,,
100000.0,69.0,CRW,IFCT,Half,Raw,,,
100000.0,81.0,CRW,IFCT,Half,Raw,,,
100000.0,86.0,CRW,IFCT,Half,Raw,,,
100000.0,103.0,CRW,IFCT,Half,Raw,,,
100000.0,63.0,CRW,IFCT,Half,Raw,,,
100000.0,26.0,CRW,IFCT,Half,Raw,,,
100000.0,5.0,CRW,IFCT,Half,Raw,,,
100000.0,490.0,CRW,IFCT,Half,Raw,,,
100000.0,30.0,CRW,IFCT,Half,Raw,,,
100000.0,201.0,CRW,IFCT,Half,Raw,,,
100000.0,28.0,CRW,IFCT,Half,Raw,,,
100000.0,60.0,CRW,IFCT,Half,Raw,,,
100000.0,132.0,CRW,IFCT,Half,Raw,,,
100000.0,137.0,CRW,IFCT,Half,Raw,,,
100000.0,5.0,CRW,IFCT,Half,Raw,,,
100000.0,98.0,CRW,IFCT,Half,Raw,,,
100000.0,75.0,CRW,IFCT,Half,Raw,,,
100000.0,271.0,CRW,IFCT,Half,Raw,,,
100000.0,76.0,CRW,IFCT,Half,Raw,,,
100000.0,103.0,CRW,IFCT,Half,Raw,,,
100000.0,446.0,CRW,IFCT,Half,Raw,,,
100000.0,43.0,CRW,IFCT,Half,Raw,,,
100000.0,99.0,CRW,IFCT,Half,Raw,,,
100000.0,46.0,CRW,IFCT,Half,Raw,,,
100000.0,7.0,CRW,IFCT,Half,Raw,,,
100000.0,13.0,CRW,IFCT,Half,Raw,,,
100000.0,15.0,CRW,IFCT,Half,Raw,,,
100000.0,13.0,CRW,IFCT,Half,Raw,,,
100000.0,3.0,CRW,IFCT,Half,Raw,,,
100000.0,85.0,CRW,IFCT,Half,Raw,,,
